Screen Name,Route,Defined In,Category,States,Components,Screen Components,Existing Components
Registration Form,/register,01-journey_user-registration-email.md,🟢 Registration,"Form idle, Submitted, Duplicate email",RegisterForm,"EmailInput, PasswordInput, TermsCheckbox","Button, Checkbox, Form, Input"
Email Confirmation Sent,/register/confirm-email,01-journey_user-registration-email.md,🟢 Registration,"Success notice, Retry link visible",RegisterForm,"EmailInput, PasswordInput, TermsCheckbox","Button, Checkbox, Form, Input"
Email Confirmation (Deep Link),/verify/email?token=...,01-journey_user-registration-email.md,📧 Email Verification,"Waiting, Success, Failure",EmailVerificationHandler,,
Terms Acceptance,/terms,01-journey_user-registration-email.md,📜 Policies & Consent,"Terms only, Terms + privacy, All accepted, Some pending",TermsAgreement,,
Registration Complete,/register/success,01-journey_user-registration-email.md,🟢 Registration,"Form idle, Submitted, Duplicate email",RegisterForm,"EmailInput, PasswordInput, TermsCheckbox","Button, Checkbox, Form, Input"
Choose Social Provider,/login,02-journey_user-registration-social.md,🔐 Authentication,"Login idle, Error shown, Locked out, Pending MFA",SocialLoginButtons,,
Additional Info Required (Post-login),/complete-profile,02-journey_user-registration-social.md,🔐 Authentication,"Required fields only, Error, Success",AdditionalInfoForm,,
Accept Terms (if required),/terms,02-journey_user-registration-social.md,📜 Policies & Consent,"Terms only, Terms + privacy, All accepted, Some pending",TermsAgreement,,
Registration Complete,/welcome,02-journey_user-registration-social.md,🏠 Post-Login,Default,,,
Login Form,/login,03-journey_login-email-pass.md,🔐 Authentication,"Login idle, Error shown, Locked out, Pending MFA",LoginForm,"EmailInput, PasswordInput, RememberMeToggle","Button, Form, Input"
Device Confirmation (if applicable),/device/confirm,"03-journey_login-email-pass.md, 04-journey_login-social.md",🛡️ Device Security,"Confirmation screen, Already confirmed, Session expired",DeviceConfirmationCard,DeviceMetadataBox,"Alert, Badge, Button, Card, Dialog, useToast"
Accept Terms,/terms,"03-journey_login-email-pass.md, 04-journey_login-social.md",📜 Policies & Consent,"Terms only, Terms + privacy, All accepted, Some pending",TermsAgreement,,
Dashboard (Post-Login),/dashboard,03-journey_login-email-pass.md,🔐 Authentication,"Welcome view, First time login, Notification badge active",,,
Login with Social,/login,04-journey_login-social.md,🔐 Authentication,"Login idle, Error shown, Locked out, Pending MFA",SocialLoginButtons,,
Additional Info Required,/complete-profile,04-journey_login-social.md,📦 Other,"Required fields only, Error, Success",AdditionalInfoForm,,
Welcome / Home,/dashboard,04-journey_login-social.md,🏠 Post-Login,"Welcome view, First time login, Notification badge active",,,
Prompt to Verify Email,/verify/email,05-journey_email-verification.md,📧 Email Verification,"Waiting, Success, Failure",EmailVerificationHandler,,
