Journey File,User Stories (Screens)
01 Journey_User Registration Email,"['Email Confirmation (Deep Link)', 'Email Confirmation Sent', 'Registration Complete', 'Registration Form', 'Terms Acceptance']"
02 Journey_User Registration Social,"['Accept Terms (if required)', 'Additional Info Required (Post-login)', 'Choose Social Provider', 'Registration Complete']"
03 Journey_Login Email Pass,"['Dashboard (Post-Login)', 'Login Form']"
"03 Journey_Login Email Pass, 04 Journey_Login Social","['Accept Terms', 'Device Confirmation (if applicable)']"
04 Journey_Login Social,"['Additional Info Required', 'Login with Social', 'Welcome / Home']"
05 Journey_Email Verification,"['Email Verification (Deep Link)', 'Prompt to Verify Email', 'Verification Failure', 'Verification Success']"
06 Journey_Phone Verification,"['Enter Phone Number', 'Enter Verification Code', 'Verification Failure', 'Verification Success']"
07 Journey_Mfa Setup,"['MFA Setup Choice', 'MFA Setup Success', 'Setup SMS', 'Setup TOTP']"
08 Journey_Mfa Login Challenge,"['MFA Challenge Prompt', 'MFA Challenge Success', 'Resend MFA Code (SMS)']"
09 Journey_Login Suspicious Device,"['Device Alert', 'Device Confirmation Failure', 'Device Confirmation Success']"
10 Journey_Terms Accept,"['Accept Terms & Privacy Policy', 'Granular Consent (Optional)', 'Terms & Consent Confirmation']"
12 Journey_Link Unlink Social Provider,"['Confirmation Message', 'Manage Linked Accounts', 'OAuth Authorization Redirect']"
13 Journey_Change Password,"['Change Password Form', 'Password Changed Confirmation']"
14 Journey_Forgot Password,"['Forgot Password Request', 'Reset Password (via Token)', 'Reset Success']"
15 Journey_User Password Reset,"['Password Reset Success', 'Reset Password Form (User-Initiated)']"
16 Journey_View And Revoke Active Sessions,"['Active Sessions', 'Revoke Confirmation (Modal)', 'Session Revoked']"
17 Journey_Export Personal Data,"['Export Data Request', 'Export Ready (Optional)']"
18 Journey_View My Devices,"['Known Devices', 'Revoke Confirmation']"
19 Journey_View Inapp Notifications,"['Notification Badge Widget', 'Notification Center']"
